"Date","Close","TQQQ"
"2020-08-30T21:00:00.000Z","35.41",""
"2020-09-06T21:00:00.000Z","30.43",""
"2020-09-13T21:00:00.000Z","29.12",""
"2020-09-20T21:00:00.000Z","30.61",""
"2020-09-27T21:00:00.000Z","31.43",""
"2020-10-04T21:00:00.000Z","35.28",""
"2020-10-11T21:00:00.000Z","36.28",""
"2020-10-18T21:00:00.000Z","34.83",""
"2020-10-25T22:00:00.000Z","29.36",""
"2020-11-01T22:00:00.000Z","37.85",""
"2020-11-08T22:00:00.000Z","36.28",""
"2020-11-15T22:00:00.000Z","36.07",""
"2020-11-22T22:00:00.000Z","39.30",""
"2020-11-29T22:00:00.000Z","41.90",""
"2020-12-06T22:00:00.000Z","40.33",""
"2020-12-13T22:00:00.000Z","43.58",""
"2020-12-20T22:00:00.000Z","43.66",""
"2020-12-27T22:00:00.000Z","45.45",""
"2021-01-03T22:00:00.000Z","47.57",""
"2021-01-10T22:00:00.000Z","44.34",""
"2021-01-17T22:00:00.000Z","50.26",""
"2021-01-24T22:00:00.000Z","45.24",""
"2021-01-31T22:00:00.000Z","52.65",""
"2021-02-07T22:00:00.000Z","55.06",""
"2021-02-14T22:00:00.000Z","52.41",""
"2021-02-21T22:00:00.000Z","44.61",""
"2021-02-28T22:00:00.000Z","41.88",""
"2021-03-07T22:00:00.000Z","44.26",""
"2021-03-14T22:00:00.000Z","43.24",""
"2021-03-21T22:00:00.000Z","44.33",""
"2021-03-28T21:00:00.000Z","47.95",""
"2021-04-04T21:00:00.000Z","53.63",""
"2021-04-11T21:00:00.000Z","55.90",""
"2021-04-18T21:00:00.000Z","54.53",""
"2021-04-25T21:00:00.000Z","53.83",""
"2021-05-02T21:00:00.000Z","51.90",""
"2021-05-09T21:00:00.000Z","47.99",""
"2021-05-16T21:00:00.000Z","48.22",""
"2021-05-23T21:00:00.000Z","51.29",""
"2021-05-30T21:00:00.000Z","51.99",""
"2021-06-06T21:00:00.000Z","54.61",""
"2021-06-13T21:00:00.000Z","55.19",""
"2021-06-20T21:00:00.000Z","58.76",""
"2021-06-27T21:00:00.000Z","63.36",""
"2021-07-04T21:00:00.000Z","64.57",""
"2021-07-11T21:00:00.000Z","62.76",""
"2021-07-18T21:00:00.000Z","68.28",""
"2021-07-25T21:00:00.000Z","66.37",""
"2021-08-01T21:00:00.000Z","68.21",""
